participant_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ResearcherA,1,1,1,-1,0,1,0,-1,1,1,-1,1,1,-1,1,0,1,1,-1,1
IndustryDev,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
SafetyFirst,0,0,1,-1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,-1,0
GradStudent,-1,0,-1,1,1,-1,1,-1,0,1,-1,0,1,1,0,1,-1,0,1,-1
Skeptic123,0,1,1,0,0,1,0,1,1,-1,-1,1,0,-1,0,-1,1,0,-1,0
OpenSciFan,0,0,0,1,1,0,0,0,-1,0,-1,0,1,0,0,1,0,1,0,1
ProfTech,1,1,1,-1,0,1,0,1,1,0,0,1,1,-1,1,0,1,1,0,1
Journalist,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
StartupFounder,0,1,-1,1,0,-1,1,0,0,1,0,-1,0,1,0,1,0,0,1,0
PhysicistLurker,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
