participant_id,1,2,3,4,5,6,7,8,9
causalwizard,1,1,1,1,1,1,1,1,0
carlosrof,1,1,1,1,0,1,1,0,0
waynerad,1,1,1,1,1,1,1,1,0
walesbioinfo,1,1,1,1,1,1,1,1,0
haraldklinke,1,1,1,1,1,1,1,1,0
spacecowboy,1,1,1,1,1,1,0,0,0
cogqueries,0,1,1,1,0,1,0,0,0
alastor8472,1,1,1,1,1,1,1,0,0
sebastianraschka,1,1,1,1,1,1,1,1,0
scaling_critic,0,1,0,1,-1,0,-1,1,-1
efficiency_expert,1,1,1,1,1,1,1,0,0
arch_researcher,1,1,1,1,0,1,1,0,-1
param_specialist,1,1,1,1,1,1,1,1,0
tiny_models_advocate,1,1,1,1,1,1,1,1,0
llm_skeptic,0,1,0,1,-1,0,-1,-1,-1
